method,dataset,masked,n,recon_wave_mse,recon_wave_w1,recon_isi_mse,recon_isi_w1,recon_acg_mse,recon_acg_w1
hippie,hausser_cell_type,wave,1998,0.24244025519660287,0.35853062190804735,0.06582692311452078,0.08105853724165983,0.05390052528114052,0.049872683036793736
hippie,hausser_cell_type,isi,1998,0.05643767241362456,0.10006322794864057,0.329482739575513,0.291153009439362,0.1745606812867555,0.08660890159574365
hippie,hausser_cell_type,acg,1998,0.054894067651636014,0.08304315167144428,0.1482948707985329,0.15397742183065044,0.28880541674486987,0.3568641818163774
