method,dataset,swap_axis,src,tgt,n,baseline_wave_err,counterfactual_wave_err,swap_gain_wave,baseline_isi_err,counterfactual_isi_err,swap_gain_isi,baseline_acg_err,counterfactual_acg_err,swap_gain_acg
hippie,combined_train,super_region,0,1,3253,0.20121917935690073,0.12473147251845652,0.0764877068384442,0.5791596565985364,0.5339297022850301,0.04522995431350628,0.3499198653241359,0.3364731149236642,0.01344675040047168
hippie,combined_train,super_region,1,0,236,0.13309976610086732,0.1997374195163533,-0.06663765341548597,0.44968301158840374,0.5276921482409461,-0.07800913665254237,0.3704830751580707,0.2828134116479906,0.08766966351008011
