method,dataset,swap_axis,src,tgt,n,baseline_wave_err,counterfactual_wave_err,swap_gain_wave,baseline_isi_err,counterfactual_isi_err,swap_gain_isi,baseline_acg_err,counterfactual_acg_err,swap_gain_acg
hippie,combined_train,source,0,1,103,0.17988330878100348,0.19478953463359944,-0.014906225852595949,0.6571201954073119,0.6250514058233465,0.03206878958396541,0.3518993044362485,0.31572160443055974,0.036177700005688714
hippie,combined_train,source,0,2,103,0.17988330878100348,0.11895661215180332,0.06092669662920017,0.6571201954073119,0.5688483969679157,0.08827179843939624,0.3518993044362485,0.5972267447166073,-0.24532744028035877
hippie,combined_train,source,0,3,103,0.17988330878100348,0.22040261574161862,-0.04051930696061514,0.6571201954073119,0.6320317833168992,0.025088412090412623,0.3518993044362485,0.33397319015947363,0.017926114276774877
hippie,combined_train,source,1,0,1998,0.18720223404862382,0.17779494429732468,0.00940728975129915,0.5348961403420022,0.5690992124326475,-0.03420307209064533,0.3719225855799647,0.3678578175343312,0.004064768045633524
hippie,combined_train,source,1,2,1998,0.18720223404862382,0.11905465111718164,0.06814758293144219,0.5348961403420022,0.4847218625180356,0.050174277823966544,0.3719225855799647,0.3791335929740776,-0.007211007394112863
hippie,combined_train,source,1,3,1998,0.18720223404862382,0.21898809782377593,-0.03178586377515211,0.5348961403420022,0.5688859865114138,-0.0339898461694116,0.3719225855799647,0.33324711888402075,0.03867546669594399
hippie,combined_train,source,2,0,236,0.12164378570298016,0.16286995451329117,-0.04122616881031101,0.42149676306773043,0.5305029012389102,-0.10900613817117982,0.5838537054546808,0.28485378976595604,0.29899991568872486
hippie,combined_train,source,2,1,236,0.12164378570298016,0.17886278184793764,-0.057218996144957464,0.42149676306773043,0.5042690341755495,-0.08277227110781912,0.5838537054546808,0.26952111518989175,0.3143325902647891
hippie,combined_train,source,2,3,236,0.12164378570298016,0.2315031148619571,-0.10985932915897692,0.42149676306773043,0.5378257298873643,-0.11632896681963387,0.5838537054546808,0.2586715827553959,0.325182122699285
hippie,combined_train,source,3,0,1152,0.20736630426512825,0.1778834362824758,0.029482867982652452,0.5836304426193237,0.5918454130490621,-0.008214970429738363,0.29866893423928154,0.3093442486392127,-0.010675314399931166
hippie,combined_train,source,3,1,1152,0.20736630426512825,0.18863828811380598,0.01872801615132226,0.5836304426193237,0.5615571737289429,0.02207326889038086,0.29866893423928154,0.29911357164382935,-0.0004446374045477973
hippie,combined_train,source,3,2,1152,0.20736630426512825,0.12548944354057312,0.08187686072455512,0.5836304426193237,0.49643274148305255,0.08719770113627116,0.29866893423928154,0.5009486476580302,-0.20227971341874865
