method,dataset,balanced_accuracy,macro_f1,n_cells,n_classes
hippie,hausser_cell_type,0.6385632885632885,0.6358519024011982,113,6
hippie,lisberger_labeled_cell_type,0.631360293335066,0.6068337482986383,668,5
