pred,true
PV,PV
PV,EXC
PV,SOM
PV,PV
PV,EXC
PV,SOM
PV,EXC
SOM,PV
SOM,PV
SOM,PV
PV,SOM
PV,PV
SOM,PV
PV,SOM
SOM,SOM
PV,SOM
PV,SOM
PV,PV
PV,SOM
PV,PV
PV,PV
PV,SOM
PV,PV
SOM,SOM
PV,EXC
PV,PV
PV,SOM
PV,SOM
PV,PV
PV,SOM
PV,SOM
PV,PV
PV,SOM
PV,PV
PV,PV
PV,EXC
PV,SOM
PV,EXC
SOM,SOM
SOM,SOM
PV,PV
PV,SOM
PV,PV
PV,SOM
PV,EXC
PV,PV
PV,SOM
PV,SOM
PV,PV
PV,SOM
PV,PV
PV,EXC
PV,PV
PV,PV
PV,EXC
PV,PV
PV,PV
