0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
-0.6547812223434448,-0.65739506483078,-0.6568405628204346,-0.6550664305686951,-0.6537802219390869,-0.6544098854064941,-0.6581366062164307,-0.6658987402915955,-0.6783007979393005,-0.6954247355461121,-0.7166092991828918,-0.7403079271316528,-0.7641409635543823,-0.7852126955986023,-0.8006832003593445,-0.8084903359413147,-0.8080405592918396,-0.8006578087806702,-0.7896116971969604,-0.7796369791030884,-0.77598637342453,-0.7831957340240479,-0.8038387894630432,-0.8375862240791321,-0.880836546421051,-0.9270684123039246,-0.9678936004638672,-0.9946205019950867,-1.0,-0.9797700643539429,-0.9336478114128113,-0.8655372858047485,-0.7828992605209351,-0.6954196095466614,-0.6132689118385315,-0.5453314185142517,-0.4977739453315735,-0.47323116660118103,-0.47073081135749817,-0.486307293176651,-0.5141035318374634,-0.5476723313331604,-0.5811773538589478,-0.6102555990219116,-0.6324197053909302,-0.6470054984092712
-0.9450854659080505,-0.9555937051773071,-0.9603242874145508,-0.9610217213630676,-0.9599418044090271,-0.9593521952629089,-0.9610328078269958,-0.9658817648887634,-0.9737107753753662,-0.983269453048706,-0.9924867153167725,-0.998873770236969,-1.0,-0.9939433932304382,-0.9796302318572998,-0.9570080041885376,-0.927034854888916,-0.8915069103240967,-0.8527745604515076,-0.8134099245071411,-0.7758885622024536,-0.7423294186592102,-0.714318573474884,-0.6928192377090454,-0.678156316280365,-0.670057475566864,-0.667735755443573,-0.6700035333633423,-0.6754171252250671,-0.682449996471405,-0.6896894574165344,-0.6960415840148926,-0.700914204120636,-0.704342246055603,-0.7070170640945435,-0.7101942896842957,-0.7154767513275146,-0.7244985103607178,-0.7385640740394592,-0.7583158612251282,-0.783506453037262,-0.8129380345344543,-0.8445963263511658,-0.8759664297103882,-0.9044734239578247,-0.9279581308364868
-0.6029631495475769,-0.5645780563354492,-0.547782301902771,-0.5481446385383606,-0.558366596698761,-0.5706261992454529,-0.5789187550544739,-0.5807508826255798,-0.5777338743209839,-0.574938952922821,-0.5792253017425537,-0.5970341563224792,-0.6322838068008423,-0.6849594712257385,-0.7507857084274292,-0.822057843208313,-0.8893846869468689,-0.9438467621803284,-0.978975236415863,-0.992027223110199,-0.9842534065246582,-0.9601501822471619,-0.925979733467102,-0.8880340456962585,-0.8511689901351929,-0.818019449710846,-0.7890743017196655,-0.7635078430175781,-0.74042147397995,-0.7200197577476501,-0.7042695879936218,-0.6967602372169495,-0.7017489671707153,-0.7226523756980896,-0.7604508399963379,-0.812538206577301,-0.8724518418312073,-0.9306806921958923,-0.9764390587806702,-1.0,-0.9949944615364075,-0.9600549340248108,-0.8993349671363831,-0.8217222094535828,-0.7389116287231445,-0.6628143787384033
-0.6050831079483032,-0.6269338130950928,-0.6669507026672363,-0.7219110727310181,-0.7859482169151306,-0.8516598343849182,-0.911442756652832,-0.9587477445602417,-0.9889950156211853,-1.0,-0.9918949604034424,-0.9666575193405151,-0.9274374842643738,-0.8778916001319885,-0.8216887712478638,-0.7622631788253784,-0.7027883529663086,-0.6462686061859131,-0.5956106781959534,-0.5535579323768616,-0.5224399566650391,-0.5037771463394165,-0.4978605806827545,-0.5034679770469666,-0.5178614258766174,-0.537143886089325,-0.5569475293159485,-0.5733173489570618,-0.5835762023925781,-0.5869360566139221,-0.5846683382987976,-0.5797529816627502,-0.5760645866394043,-0.5772861838340759,-0.5858293175697327,-0.6020517945289612,-0.6240027546882629,-0.6477899551391602,-0.6685050129890442,-0.6814872622489929,-0.6836116909980774,-0.6742656826972961,-0.6557507514953613,-0.6329861879348755,-0.6125637888908386,-0.6013681292533875
-0.7988792061805725,-0.7414075136184692,-0.689238429069519,-0.645506739616394,-0.6118367910385132,-0.5883088111877441,-0.5736572742462158,-0.5656567811965942,-0.561621904373169,-0.5589326024055481,-0.5554964542388916,-0.5500726699829102,-0.5424105525016785,-0.5331870913505554,-0.523766279220581,-0.5158324241638184,-0.510970950126648,-0.5102798938751221,-0.5140868425369263,-0.5218279361724854,-0.5321141481399536,-0.5429767370223999,-0.5522501468658447,-0.55802321434021,-0.5590767860412598,-0.5552242398262024,-0.5474855303764343,-0.5380536913871765,-0.530045211315155,-0.5270643830299377,-0.5326444506645203,-0.5496503114700317,-0.5797399878501892,-0.6229737997055054,-0.6776408553123474,-0.7403397560119629,-0.8063116073608398,-0.8699837327003479,-0.9256482124328613,-0.9681797027587891,-0.993686318397522,-1.0,-0.9869340062141418,-0.9562723636627197,-0.9114948511123657,-0.8572824597358704
-0.7108643651008606,-0.7078527808189392,-0.7084811329841614,-0.7138784527778625,-0.7247675061225891,-0.7413766384124756,-0.7634080648422241,-0.790063738822937,-0.8201232552528381,-0.8520628213882446,-0.8841975927352905,-0.9148304462432861,-0.9423887133598328,-0.9655357599258423,-0.9832462668418884,-0.9948435425758362,-1.0,-0.9987083673477173,-0.9912338256835938,-0.9780583381652832,-0.9598274827003479,-0.9373072981834412,-0.9113540649414062,-0.8828966617584229,-0.85292649269104,-0.8224881887435913,-0.79266357421875,-0.7645415663719177,-0.7391719222068787,-0.7175021767616272,-0.7003034949302673,-0.6880948543548584,-0.6810762882232666,-0.6790841817855835,-0.6815803050994873,-0.6876801252365112,-0.6962241530418396,-0.7058871984481812,-0.7153158783912659,-0.723278284072876,-0.7288088202476501,-0.7313278913497925,-0.730721116065979,-0.7273649573326111,-0.7220944762229919,-0.7161144018173218
-0.2828674912452698,-0.24735714495182037,-0.24825148284435272,-0.2789740264415741,-0.32828378677368164,-0.3835521936416626,-0.43414822220802307,-0.4739841818809509,-0.5025467872619629,-0.5241981148719788,-0.5460421442985535,-0.5750649571418762,-0.6154529452323914,-0.6669171452522278,-0.7245306968688965,-0.7801164388656616,-0.8247469663619995,-0.8515775203704834,-0.858126699924469,-0.8472844362258911,-0.8267062902450562,-0.8067398071289062,-0.7974762320518494,-0.8057942986488342,-0.8332778215408325,-0.8756454586982727,-0.9238887429237366,-0.9668116569519043,-0.9942453503608704,-1.0,-0.9836780428886414,-0.9507957100868225,-0.9111462831497192,-0.8758559226989746,-0.8539718985557556,-0.8495771884918213,-0.8602914214134216,-0.8776310086250305,-0.8891780376434326,-0.8819857239723206,-0.8462873101234436,-0.7784749269485474,-0.6825081706047058,-0.5693404078483582,-0.4545002579689026,-0.35447484254837036
-0.28734612464904785,-0.267295241355896,-0.2673690915107727,-0.2904619872570038,-0.33707955479621887,-0.4052242338657379,-0.49061495065689087,-0.5871619582176208,-0.6876015663146973,-0.784201443195343,-0.8694742918014526,-0.936858594417572,-0.9813423752784729,-1.0,-0.9923967123031616,-0.9607951641082764,-0.9100888967514038,-0.8474024534225464,-0.7813392877578735,-0.72092604637146,-0.6743770837783813,-0.6478689908981323,-0.6445481181144714,-0.6639782190322876,-0.7021710872650146,-0.752234697341919,-0.8055459856987,-0.8532396554946899,-0.8877267241477966,-0.9039406776428223,-0.9000610709190369,-0.8775748610496521,-0.8406800627708435,-0.7951802611351013,-0.7471293807029724,-0.7015348076820374,-0.661404550075531,-0.6273366212844849,-0.5977168083190918,-0.5694476366043091,-0.5390146374702454,-0.5036247372627258,-0.4621501863002777,-0.41566911339759827,-0.3674962818622589,-0.3227173388004303
-0.3117099702358246,-0.3127470016479492,-0.3098256289958954,-0.3038651645183563,-0.2963466942310333,-0.2891838550567627,-0.28455573320388794,-0.28471437096595764,-0.291782408952713,-0.3075556755065918,-0.3333269953727722,-0.36974427103996277,-0.4167148470878601,-0.4733637571334839,-0.5380499958992004,-0.6084405779838562,-0.681637704372406,-0.7543502449989319,-0.8230982422828674,-0.8844350576400757,-0.9351725578308105,-0.9725919961929321,-0.9946262836456299,-1.0,-0.9883174896240234,-0.9600919485092163,-0.916714072227478,-0.8603619933128357,-0.7938590049743652,-0.7204895615577698,-0.6437863111495972,-0.5673035383224487,-0.49439364671707153,-0.428001344203949,-0.3704914152622223,-0.32352083921432495,-0.2879646122455597,-0.2638993561267853,-0.25064536929130554,-0.2468629777431488,-0.25069501996040344,-0.2599446475505829,-0.27227360010147095,-0.2854066491127014,-0.2973255515098572,-0.3064382076263428
-0.9752833843231201,-0.9885944724082947,-0.9970294833183289,-1.0,-0.9977901577949524,-0.9914343953132629,-0.9824779629707336,-0.9726743102073669,-0.9636788368225098,-0.956791341304779,-0.9527854919433594,-0.9518418908119202,-0.9535818099975586,-0.9571826457977295,-0.9615474939346313,-0.9654979109764099,-0.9679630398750305,-0.9681420922279358,-0.9656243920326233,-0.9604569673538208,-0.9531512260437012,-0.9446268081665039,-0.9360935091972351,-0.9288793206214905,-0.9242226481437683,-0.9230550527572632,-0.9258093237876892,-0.9322898983955383,-0.94163978099823,-0.9524224996566772,-0.9628204703330994,-0.9709253907203674,-0.9750752449035645,-0.9741762280464172,-0.96794593334198,-0.9570228457450867,-0.9429106116294861,-0.9277581572532654,-0.9140094518661499,-0.9039850831031799,-0.8994749784469604,-0.9014197587966919,-0.90974360704422,-0.9233700633049011,-0.940416693687439,-0.9585283398628235
