pred,true
PkC_cs,PkC_cs
PkC_cs,PkC_cs
PkC_cs,MLI
PkC_cs,PkC_ss
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
PkC_cs,PkC_ss
PkC_cs,MFB
PkC_cs,GoC
MFB,PkC_ss
PkC_cs,PkC_ss
PkC_cs,MFB
PkC_cs,MLI
PkC_cs,PkC_cs
PkC_cs,PkC_ss
PkC_cs,PkC_cs
PkC_cs,GoC
PkC_cs,MLI
PkC_cs,MFB
PkC_ss,PkC_ss
