pred,true
MFB,MFB
GoC,MFB
PkC_ss,PkC_cs
PkC_ss,PkC_ss
PkC_ss,PkC_ss
PkC_cs,PkC_ss
GoC,PkC_ss
GoC,MLI
MLI,MLI
GoC,GoC
MFB,GoC
PkC_ss,PkC_cs
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,GoC
PkC_ss,MLI
GoC,PkC_ss
MLI,MFB
PkC_ss,PkC_cs
