dataset,N,pct_neg,pct_bip,pct_pos,ba_mean,ba_std
Hull,101,55.445544554455445,38.613861386138616,5.9405940594059405,0.9485119047619047,0.03852528839353429
Lisberger,668,55.08982035928144,7.934131736526946,36.97604790419162,0.6784703830125982,0.026800179077999156
DANDI-041,221,89.14027149321267,9.95475113122172,0.9049773755656109,0.7704181184668989,0.05678987177403987
DANDI-473,9213,98.02453055465104,1.8994898512970801,0.0759795940518832,0.7175185362241813,0.022301539028420112
DANDI-955,134,0.0,100.0,0.0,0.6900000000000001,0.10454956836303989
Hausser,104,54.80769230769231,42.30769230769231,2.8846153846153846,0.6819999999999999,0.06571318149520856
Juxtacellular S1,224,0.0,45.535714285714285,54.464285714285715,0.9139321789321789,0.05058514778245876
A1 auditory,285,42.10526315789474,57.89473684210526,0.0,0.5693719806763284,0.06508812759753664
CellExplorer,430,63.48837209302326,36.51162790697674,0.0,0.534125959483511,0.03483272950111232
