method,dataset,fold,balanced_accuracy,macro_f1
pca_isi,lisberger_labeled_cell_type,2,0.5539625186684011,0.5510742350615098
pca_isi,lisberger_labeled_cell_type,3,0.6230482430482431,0.622386836012944
pca_isi,lisberger_labeled_cell_type,4,0.6308797720562426,0.6308096841430174
pca_acg,lisberger_labeled_cell_type,0,0.5454689984101749,0.518668432245897
pca_acg,lisberger_labeled_cell_type,1,0.6076703900233312,0.6012922749764855
pca_acg,lisberger_labeled_cell_type,2,0.660437442790384,0.6672935827865405
pca_acg,lisberger_labeled_cell_type,3,0.6856284856284856,0.6888653543609224
pca_acg,lisberger_labeled_cell_type,4,0.6421861127743481,0.6523340961098398
nemo,hull_cell_type,0,0.875,0.8999999999999999
nemo,hull_cell_type,1,1.0,1.0
nemo,hull_cell_type,2,0.96875,0.9641025641025642
nemo,hull_cell_type,3,0.8333333333333333,0.8226190476190476
nemo,hull_cell_type,4,1.0,1.0
nemo,lisberger_labeled_cell_type,0,0.6042784445901772,0.5917619817483019
nemo,lisberger_labeled_cell_type,1,0.6667993513194751,0.6771329886968337
nemo,lisberger_labeled_cell_type,2,0.6853114125426499,0.6965786427629277
nemo,lisberger_labeled_cell_type,3,0.633987189159603,0.6400080949794443
nemo,lisberger_labeled_cell_type,4,0.6819925808161102,0.6884662140974221
shuffle,hull_cell_type,0,0.28125,0.14523809523809522
shuffle,hull_cell_type,1,0.1919642857142857,0.1924019607843137
shift,hull_cell_type,0,0.06696428571428571,0.10096153846153846
shift,hull_cell_type,1,0.06696428571428571,0.10096153846153846
shuffle,lisberger_labeled_cell_type,0,0.23100678866516883,0.17918367346938774
shuffle,lisberger_labeled_cell_type,1,0.08171759799666775,0.06529830838276371
shift,lisberger_labeled_cell_type,1,0.06670956670956671,0.05247474747474747
