pred,true
MLI,MFB
MLI,MFB
MLI,MFB
MFB,PkC_ss
MFB,MLI
MFB,PkC_ss
MFB,MFB
PkC_ss,PkC_ss
MFB,PkC_ss
MFB,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
PkC_ss,PkC_cs
PkC_cs,PkC_cs
MFB,MLI
MFB,PkC_ss
PkC_ss,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
PkC_ss,PkC_ss
PkC_ss,PkC_cs
